"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every","Confirmed per 1000","Died per 1000"
2021-03-15,20,0,18,1,1,90,5,0.4,250,5000,4,0.2
2021-03-14,20,0,18,1,1,90,5,0.4,250,5000,4,0.2
2021-03-13,20,0,18,1,1,90,5,0.4,250,5000,4,0.2
2021-03-12,20,0,18,1,1,90,5,0.4,250,5000,4,0.2
2021-03-11,20,0,18,1,1,90,5,0.4,250,5000,4,0.2
2021-03-10,20,0,14,1,5,70,5,0.4,250,5000,4,0.2
2021-03-09,20,0,14,1,5,70,5,0.4,250,5000,4,0.2
2021-03-08,20,0,14,1,5,70,5,0.4,250,5000,4,0.2
2021-03-07,20,0,14,1,5,70,5,0.4,250,5000,4,0.2
2021-03-06,20,0,14,1,5,70,5,0.4,250,5000,4,0.2
2021-03-05,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-03-04,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-03-03,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-03-02,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-03-01,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-28,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-27,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-26,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-25,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-24,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-23,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-22,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-21,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-20,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-19,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-18,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-17,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-16,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-15,20,0,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-14,20,5.263158,13,1,6,65,5,0.4,250,5000,4,0.2
2021-02-13,19,0,13,1,5,68.421053,5.263158,0.38,263,5000,3.8,0.2
2021-02-12,19,0,13,1,5,68.421053,5.263158,0.38,263,5000,3.8,0.2
2021-02-11,19,5.555556,13,1,5,68.421053,5.263158,0.38,263,5000,3.8,0.2
2021-02-10,18,0,13,1,4,72.222222,5.555556,0.36,278,5000,3.6,0.2
2021-02-09,18,0,13,1,4,72.222222,5.555556,0.36,278,5000,3.6,0.2
2021-02-08,18,5.882353,13,1,4,72.222222,5.555556,0.36,278,5000,3.6,0.2
2021-02-07,17,13.333333,13,1,3,76.470588,5.882353,0.34,294,5000,3.4,0.2
2021-02-06,15,15.384615,13,1,1,86.666667,6.666667,0.3,333,5000,3,0.2
