Москва	 193061	1992	 89766	 100431	 2864
Московская область	 43478	758	 31997	 10924	 557
Санкт-Петербург	 18169	347	 10361	 7462	 346
Нижегородская область	 11820	321	 6894	 4795	 131
Свердловская область	 7179	249	 3974	 3166	 39
Ростовская область	 5965	212	 3674	 2245	 46
Республика Дагестан	 5743	156	 908	 4537	 298
Красноярский край	 5136	168	 3599	 1488	 49
Тульская область	 4505	107	 2047	 2409	 49
Калужская область	 4431	74	 2372	 2024	 35
Краснодарский край	 4312	81	 1035	 3235	 42
Брянская область	 4269	95	 1420	 2818	 31
Рязанская область	 3940	68	 2497	 1433	 10
Республика Башкортостан	 3832	105	 2492	 1322	 18
Волгоградская область	 3794	125	 2373	 1400	 21
Саратовская область	 3651	98	 2153	 1462	 36
Ярославская область	 3576	75	 2392	 1169	 15
Республика Татарстан	 3504	52	 44	 3450	 10
Челябинская область	 3499	128	 1822	 1651	 26
Мурманская область	 3472	50	 997	 2468	 7
Новосибирская область	 3441	107	 2045	 1356	 40
Курская область	 3425	68	 1635	 1775	 15
Республика Чувашия	 3395	84	 1854	 1525	 16
Тамбовская область	 3371	64	 1889	 1474	 8
Кабардино-Балкарская Республика	 3272	73	 1694	 1549	 29
Республика Северная Осетия — Алания	 3241	44	 151	 3033	 57
Ханты-Мансийский АО	 3231	127	 2099	 1112	 20
Ленинградская область	 3137	51	 980	 2139	 18
Ульяновская область	 3074	109	 2124	 937	 13
Самарская область	 3026	104	 1653	 1348	 25
Владимирская область	 3026	60	 1798	 1198	 30
Ставропольский край	 2990	87	 1487	 1446	 57
Смоленская область	 2923	95	 1797	 1085	 41
Пензенская область	 2845	86	 465	 2354	 26
Белгородская область	 2769	74	 1418	 1326	 25
Орловская область	 2760	111	 1266	 1462	 32
Архангельская область	 2746	125	 1893	 844	 9
Воронежская область	 2698	106	 994	 1688	 16
Ямало-Ненецкий автономный округ	 2621	42	 1234	 1376	 11
Иркутская область	 2613	71	 1959	 638	 16
Ивановская область	 2577	130	 1492	 1063	 22
Липецкая область	 2516	64	 1570	 938	 8
Хабаровский край	 2468	70	 1156	 1296	 16
Республика Саха (Якутия)	 2453	73	 1196	 1242	 15
Приморский край	 2313	51	 889	 1402	 22
Республика Ингушетия	 2307	39	 814	 1432	 61
Оренбургская область	 2267	63	 631	 1628	 8
Алтайский край	 2255	63	 1180	 1061	 14
Астраханская область	 2233	61	 986	 1225	 22
Республика Мордовия	 2138	40	 1009	 1111	 18
Кировская область	 2121	79	 946	 1157	 18
Пермский край	 2067	56	 679	 1360	 28
Республика Марий Эл	 2019	44	 305	 1699	 15
Тверская область	 1962	87	 506	 1415	 41
Тюменская область	 1873	39	 815	 1047	 11
Калининградская область	 1736	36	 949	 763	 24
Республика Бурятия	 1733	52	 696	 1026	 11
Омская область	 1676	81	 994	 664	 18
Новгородская область	 1634	46	 1188	 437	 9
Республика Коми	 1518	38	 617	 875	 26
Карачаево-Черкесская Республика	 1505	75	 1093	 405	 7
Республика Тыва	 1489	98	 1237	 250	 2
Забайкальский край	 1398	77	 564	 807	 27
Чеченская Республика	 1326	20	 324	 988	 14
Псковская область	 1163	32	 714	 437	 12
Республика Калмыкия	 1149	13	 519	 614	 16
Республика Хакасия	 1111	9	 390	 711	 10
Камчатский край	 1085	52	 774	 301	 10
Вологодская область	 1056	21	 537	 508	 11
Республика Адыгея	 995	33	 445	 540	 10
Удмуртская Республика	 904	39	 426	 466	 12
Костромская область	 888	26	 402	 474	 12
Томская область	 868	36	 431	 426	 11
Кемеровская область	 685	19	 380	 298	 7
Амурская область	 657	42	 403	 249	 5
Республика Карелия	 573	25	 356	 215	 2
Республика Крым	 413	8	 100	 308	 5
Еврейская автономная область	 336	7	 83	 249	 4
Магаданская область	 313	27	 103	 207	 3
Курганская область	 280	12	 122	 158	 0
Севастополь	 174	1	 26	 145	 3
Сахалинская область	 170	10	 107	 63	 0
Республика Алтай	 163	7	 68	 95	 0
Чукотский автономный округ	 102	5	 38	 63	 1
Ненецкий автономный округ	 80	0	 64	 16	 0
