"Date","Confirmed cases","Daily growth, %","Recovered cases","Fatal cases","Active cases","Recovery rate, %","Mortality rate, %","Affected population, %","1 confirmed per every","1 died per every"
2020-04-06,109,5.825243,52,0,57,47.706422,0,0.32344213649851633,309,
2020-04-05,103,5.102041,52,0,51,50.485437,0,0.3056379821958457,327,
2020-04-04,98,3.157895,52,0,46,53.061224,0,0.29080118694362017,344,
2020-04-03,95,7.954545,46,0,49,48.421053,0,0.2818991097922849,355,
2020-04-02,88,8.641975,46,0,42,52.272727,0,0.26112759643916916,383,
2020-04-01,81,17.391304,34,0,47,41.975309,0,0.2403560830860534,416,
2020-03-31,69,0,34,0,35,49.275362,0,0.20474777448071216,488,
2020-03-30,69,6.153846,34,0,35,49.275362,0,0.20474777448071216,488,
2020-03-29,65,16.071429,14,0,51,21.538462,0,0.19287833827893175,518,
2020-03-28,56,1.818182,14,0,42,25,0,0.1661721068249258,602,
2020-03-27,55,57.142857,14,0,41,25.454545,0,0.1632047477744807,613,
2020-03-26,35,34.615385,13,0,22,37.142857,0,0.10385756676557864,963,
2020-03-25,26,73.333333,5,0,21,19.230769,0,0.0771513353115727,1296,
2020-03-24,15,0,5,0,10,33.333333,0,0.04451038575667656,2247,
2020-03-23,15,0,5,0,10,33.333333,0,0.04451038575667656,2247,
2020-03-22,15,50,2,0,13,13.333333,0,0.04451038575667656,2247,
2020-03-21,10,0,2,0,8,20,0,0.02967359050445104,3370,
2020-03-20,10,0,2,0,8,20,0,0.02967359050445104,3370,
2020-03-19,10,25,2,0,8,20,0,0.02967359050445104,3370,
2020-03-18,8,166.666667,2,0,6,25,0,0.02373887240356083,4213,
2020-03-17,3,200,1,0,2,33.333333,0,0.008902077151335312,11233,
2020-03-16,1,0,1,0,0,100,0,0.002967359050445104,33700,
2020-03-15,1,0,1,0,0,100,0,0.002967359050445104,33700,
2020-03-14,1,0,1,0,0,100,0,0.002967359050445104,33700,
2020-03-13,1,0,1,0,0,100,0,0.002967359050445104,33700,
2020-03-12,1,0,1,0,0,100,0,0.002967359050445104,33700,
2020-03-11,1,0,1,0,0,100,0,0.002967359050445104,33700,
2020-03-10,1,0,1,0,0,100,0,0.002967359050445104,33700,
2020-03-09,1,0,0,0,1,0,0,0.002967359050445104,33700,
2020-03-08,1,0,0,0,1,0,0,0.002967359050445104,33700,
2020-03-07,1,0,0,0,1,0,0,0.002967359050445104,33700,
2020-03-06,1,0,0,0,1,0,0,0.002967359050445104,33700,
2020-03-05,1,0,0,0,1,0,0,0.002967359050445104,33700,
2020-03-04,1,,0,0,1,0,0,0.002967359050445104,33700,

